#{"t_start": 1682828472.0552056, "env_id": null}
r,l,t
1611.721638,2,21.554004
1611.721638,2,21.59859
1611.721638,2,21.63841
1611.721638,2,21.678799
1611.721638,2,21.715413
1611.721638,2,21.760589
1611.721638,2,21.798975
1611.721638,2,21.838691
1611.721638,2,21.879731
1611.721638,2,21.923038
1611.721638,2,21.962697
1611.721638,2,22.002578
1611.721638,2,22.050449
1611.721638,2,22.101143
1611.721638,2,22.149206
1611.721638,2,22.201803
1611.721638,2,22.246999
1611.721638,2,22.301821
1611.721638,2,22.341461
1611.721638,2,22.386721
1611.721638,2,22.427206
1611.721638,2,22.470086
1611.721638,2,22.511734
1611.721638,2,22.551881
1611.721638,2,22.590709
1611.721638,2,22.633883
1611.721638,2,22.672975
1611.721638,2,22.713752
1611.721638,2,22.756067
1611.721638,2,22.836416
1611.721638,2,22.880388
1611.721638,2,22.928909
1611.721638,2,22.97548
1611.721638,2,23.022676
1611.721638,2,23.065772
1611.721638,2,23.103854
1611.721638,2,23.144489
1611.721638,2,23.191882
1611.721638,2,23.239043
1611.721638,2,23.280715
1611.721638,2,23.318373
1611.721638,2,23.366487
1611.721638,2,23.40685
1611.721638,2,23.444659
1611.721638,2,23.484106
1611.721638,2,23.530075
1611.721638,2,23.571166
1611.721638,2,23.610734
1611.721638,2,23.650644
1611.721638,2,23.693217
1611.721638,2,23.736501
1611.721638,2,23.774902
1611.721638,2,23.812165
1611.721638,2,23.857265
1611.721638,2,23.901212
1611.721638,2,23.939101
1611.721638,2,23.977541
1611.721638,2,24.022258
1611.721638,2,24.06565
1611.721638,2,24.108785
1611.721638,2,24.146526
1611.721638,2,24.19002
1611.721638,2,24.229246
1611.721638,2,24.270892
1611.721638,2,24.311326
1611.721638,2,24.355586
1611.721638,2,24.397453
1611.721638,2,24.438592
1611.721638,2,24.478523
1611.721638,2,24.522958
1611.721638,2,24.560508
1611.721638,2,24.604671
1611.721638,2,24.645758
1611.721638,2,24.688897
1611.721638,2,24.733574
1611.721638,2,24.771935
1611.721638,2,24.809315
1611.721638,2,24.851637
1611.721638,2,24.890913
1611.721638,2,24.957883
1611.721638,2,25.002333
1611.721638,2,25.048349
1611.721638,2,25.091338
1611.721638,2,25.132512
1611.721638,2,25.171876
1611.721638,2,25.214174
1611.721638,2,25.250238
1611.721638,2,25.286913
1611.721638,2,25.322194
1611.721638,2,25.36442
1611.721638,2,25.402474
1611.721638,2,25.440328
1611.721638,2,25.480011
1611.721638,2,25.524932
1611.721638,2,25.562883
1611.721638,2,25.602681
1611.721638,2,25.64195
1611.721638,2,25.68898
1611.721638,2,25.723075
1611.721638,2,25.761055
1611.721638,2,25.80794
1611.721638,2,25.850531
1611.721638,2,25.894312
1611.721638,2,25.933837
1611.721638,2,25.979452
1611.721638,2,26.027136
1611.721638,2,26.076916
1611.721638,2,26.123877
1611.721638,2,26.179584
1611.721638,2,26.22389
1611.721638,2,26.269055
1611.721638,2,26.311914
1611.721638,2,26.353479
1611.721638,2,26.401712
1611.721638,2,26.44533
1611.721638,2,26.48666
1611.721638,2,26.527842
1611.721638,2,26.572259
1611.721638,2,26.611333
1611.721638,2,26.648618
1611.721638,2,26.690957
1611.721638,2,26.735688
1611.721638,2,26.787133
1611.721638,2,26.830559
1611.721638,2,26.866703
1611.721638,2,26.90952
1611.721638,2,26.948943
1611.721638,2,26.988264
1611.721638,2,27.02516
1611.721638,2,27.090648
1611.721638,2,27.139729
1611.721638,2,27.187678
1611.721638,2,27.226299
1611.721638,2,27.271398
1611.721638,2,27.310789
1611.721638,2,27.351408
1611.721638,2,27.393202
1611.721638,2,27.43671
1611.721638,2,27.47256
1611.721638,2,27.510725
1611.721638,2,27.549809
1611.721638,2,27.594488
1611.721638,2,27.632536
1611.721638,2,27.675037
1611.721638,2,27.721178
1611.721638,2,27.773127
1611.721638,2,27.821712
1611.721638,2,27.863352
1611.721638,2,27.907487
1611.721638,2,27.955253
1611.721638,2,27.995555
1611.721638,2,28.035933
1611.721638,2,28.078409
1611.721638,2,28.127707
1611.721638,2,28.17378
1611.721638,2,28.217715
1611.721638,2,28.258802
1611.721638,2,28.302137
1611.721638,2,28.343187
1611.721638,2,28.384752
1611.721638,2,28.426294
1611.721638,2,28.470344
1611.721638,2,28.512222
1611.721638,2,28.552936
1611.721638,2,28.591976
1611.721638,2,28.632315
1611.721638,2,28.675865
1611.721638,2,28.715103
1611.721638,2,28.756828
1611.721638,2,28.795799
1611.721638,2,28.834156
1611.721638,2,28.870198
1611.721638,2,28.906228
1611.721638,2,28.947334
1611.721638,2,28.985952
1611.721638,2,29.022284
1611.721638,2,29.05873
1611.721638,2,29.101389
1611.721638,2,29.138208
1611.721638,2,29.198364
1611.721638,2,29.238102
1611.721638,2,29.27798
1611.721638,2,29.317109
1611.721638,2,29.355063
1611.721638,2,29.393815
1611.721638,2,29.435505
1611.721638,2,29.474751
1611.721638,2,29.510626
1611.721638,2,29.548937
1611.721638,2,29.590451
1611.721638,2,29.636174
1611.721638,2,29.683419
1611.721638,2,29.729763
1611.721638,2,29.772372
1611.721638,2,29.81138
1611.721638,2,29.855683
1611.721638,2,29.899469
1611.721638,2,29.943926
1611.721638,2,29.98594
1611.721638,2,30.029892
1611.721638,2,30.071372
1611.721638,2,30.11934
1611.721638,2,30.16364
1611.721638,2,30.201416
1611.721638,2,30.238404
1611.721638,2,30.280421
1611.721638,2,30.322124
1611.721638,2,30.363415
1611.721638,2,30.401318
1611.721638,2,30.445801
1611.721638,2,30.484344
1611.721638,2,30.522937
1611.721638,2,30.562311
1611.721638,2,30.602529
1611.721638,2,30.638716
1611.721638,2,30.675482
1611.721638,2,30.710849
1611.721638,2,30.758436
1611.721638,2,30.805225
1611.721638,2,30.846483
1611.721638,2,30.885996
1611.721638,2,30.930302
1611.721638,2,30.969652
1611.721638,2,31.014597
1611.721638,2,31.059925
1611.721638,2,31.116229
1611.721638,2,31.158087
1611.721638,2,31.20309
1611.721638,2,31.242582
1611.721638,2,31.316947
1611.721638,2,31.36341
1611.721638,2,31.406181
1611.721638,2,31.448568
1611.721638,2,31.496655
1611.721638,2,31.537129
1611.721638,2,31.583322
1611.721638,2,31.622954
1611.721638,2,31.666143
1611.721638,2,31.704271
1611.721638,2,31.741934
1611.721638,2,31.777139
1611.721638,2,31.819438
1611.721638,2,31.857166
1611.721638,2,31.896703
1611.721638,2,31.934984
1611.721638,2,31.978302
1611.721638,2,32.01903
1611.721638,2,32.058791
1611.721638,2,32.099638
1611.721638,2,32.142396
1611.721638,2,32.181091
1611.721638,2,32.22359
1611.721638,2,32.26293
1611.721638,2,32.306127
1611.721638,2,32.345876
1611.721638,2,32.382927
1611.721638,2,32.421115
1611.721638,2,32.467759
1611.721638,2,32.506846
1611.721638,2,32.546659
1611.721638,2,32.587007
1611.721638,2,32.63109
1611.721638,2,32.670666
1611.721638,2,32.706836
